Benchmark,Time,CPU,Iterations,Optimization,Category
BM_SimpleLoop,,4540.38,,-O0,Loops
BM_SimpleLoop,,4396.42,,-O0,Loops
BM_SimpleLoop,,4350.45,,-O0,Loops
BM_SimpleLoop,,4360.8,,-O0,Loops
BM_SimpleLoop,,4356.94,,-O0,Loops
BM_SimpleLoop,,4375.72,,-O0,Loops
BM_SimpleLoop,,4349.98,,-O0,Loops
BM_SimpleLoop,,4442.48,,-O0,Loops
BM_SimpleLoop,,4472.01,,-O0,Loops
BM_SimpleLoop,,4382.17,,-O0,Loops
BM_SimpleLoop,,4679.52,,-O0,Loops
BM_SimpleLoop,,4385.4,,-O0,Loops
BM_SimpleLoop,,4566.94,,-O0,Loops
BM_SimpleLoop,,4608.49,,-O0,Loops
BM_SimpleLoop,,4620.48,,-O0,Loops
BM_SimpleLoop,,4472.88,,-O0,Loops
BM_SimpleLoop,,4439.16,,-O0,Loops
BM_SimpleLoop,,4456.72,,-O0,Loops
BM_SimpleLoop,,4564.74,,-O0,Loops
BM_SimpleLoop,,4508.56,,-O0,Loops
BM_SimpleLoop,,4407.9,,-O0,Loops
BM_SimpleLoop,,4338.72,,-O0,Loops
BM_SimpleLoop,,4509.78,,-O0,Loops
BM_SimpleLoop,,4377.14,,-O0,Loops
BM_SimpleLoop,,4607.87,,-O0,Loops
BM_SimpleLoop,,4613.08,,-O0,Loops
BM_SimpleLoop,,4529.68,,-O0,Loops
BM_SimpleLoop,,4486.7,,-O0,Loops
BM_SimpleLoop,,4594.17,,-O0,Loops
BM_SimpleLoop,,4373.34,,-O0,Loops
BM_SimpleLoop,,4481.03,,-O0,Loops
BM_SimpleLoop,,4432.82,,-O0,Loops
BM_SimpleLoop,,4612.42,,-O0,Loops
BM_SimpleLoop,,4485.67,,-O0,Loops
BM_SimpleLoop,,4417.29,,-O0,Loops
BM_SimpleLoop,,4419.8,,-O0,Loops
BM_SimpleLoop,,4377.25,,-O0,Loops
BM_SimpleLoop,,4354.91,,-O0,Loops
BM_SimpleLoop,,4367.33,,-O0,Loops
BM_SimpleLoop,,4401.24,,-O0,Loops
BM_SimpleLoop,,4510.24,,-O0,Loops
BM_SimpleLoop,,4445.72,,-O0,Loops
BM_SimpleLoop,,4458.02,,-O0,Loops
BM_SimpleLoop,,4478.74,,-O0,Loops
BM_SimpleLoop,,4442.45,,-O0,Loops
BM_SimpleLoop,,4472.95,,-O0,Loops
BM_SimpleLoop,,4460.61,,-O0,Loops
BM_SimpleLoop,,4566.62,,-O0,Loops
BM_SimpleLoop,,4407.39,,-O0,Loops
BM_SimpleLoop,,4464.66,,-O0,Loops
BM_SimpleLoop,,0.600385,,-O2,Loops
BM_SimpleLoop,,0.553375,,-O2,Loops
BM_SimpleLoop,,0.541544,,-O2,Loops
BM_SimpleLoop,,0.566958,,-O2,Loops
BM_SimpleLoop,,0.598396,,-O2,Loops
BM_SimpleLoop,,0.576021,,-O2,Loops
BM_SimpleLoop,,0.607792,,-O2,Loops
BM_SimpleLoop,,0.575785,,-O2,Loops
BM_SimpleLoop,,0.576648,,-O2,Loops
BM_SimpleLoop,,0.616198,,-O2,Loops
BM_SimpleLoop,,0.553206,,-O2,Loops
BM_SimpleLoop,,0.623551,,-O2,Loops
BM_SimpleLoop,,0.572475,,-O2,Loops
BM_SimpleLoop,,0.599652,,-O2,Loops
BM_SimpleLoop,,0.585813,,-O2,Loops
BM_SimpleLoop,,0.544228,,-O2,Loops
BM_SimpleLoop,,0.546124,,-O2,Loops
BM_SimpleLoop,,0.551106,,-O2,Loops
BM_SimpleLoop,,0.543614,,-O2,Loops
BM_SimpleLoop,,0.544653,,-O2,Loops
BM_SimpleLoop,,0.555062,,-O2,Loops
BM_SimpleLoop,,0.574176,,-O2,Loops
BM_SimpleLoop,,0.572883,,-O2,Loops
BM_SimpleLoop,,0.553574,,-O2,Loops
BM_SimpleLoop,,0.597944,,-O2,Loops
BM_SimpleLoop,,0.556792,,-O2,Loops
BM_SimpleLoop,,0.568263,,-O2,Loops
BM_SimpleLoop,,0.628878,,-O2,Loops
BM_SimpleLoop,,0.572279,,-O2,Loops
BM_SimpleLoop,,0.585894,,-O2,Loops
BM_SimpleLoop,,0.559505,,-O2,Loops
BM_SimpleLoop,,0.554778,,-O2,Loops
BM_SimpleLoop,,0.550219,,-O2,Loops
BM_SimpleLoop,,0.601508,,-O2,Loops
BM_SimpleLoop,,0.823445,,-O2,Loops
BM_SimpleLoop,,0.552981,,-O2,Loops
BM_SimpleLoop,,0.661871,,-O2,Loops
BM_SimpleLoop,,0.603392,,-O2,Loops
BM_SimpleLoop,,0.981014,,-O2,Loops
BM_SimpleLoop,,0.812067,,-O2,Loops
BM_SimpleLoop,,0.546822,,-O2,Loops
BM_SimpleLoop,,0.548461,,-O2,Loops
BM_SimpleLoop,,0.574291,,-O2,Loops
BM_SimpleLoop,,0.596205,,-O2,Loops
BM_SimpleLoop,,0.580461,,-O2,Loops
BM_SimpleLoop,,0.54469,,-O2,Loops
BM_SimpleLoop,,0.560237,,-O2,Loops
BM_SimpleLoop,,0.55412,,-O2,Loops
BM_SimpleLoop,,0.577026,,-O2,Loops
